Title,Year,Type_Long,Type,Link,En_mi_web
"Internet. La red de redes. Bellini Saibene, Y.; Vega, J.; Muñoz, V.; Bruno, V. Cuartas Jornadas sobre Informática, Educación y Sociedad. 31 de Octubre y 1 de Noviembre de 1998. Colegio Universitario Liceo Informático II, Santa Rosa (LP)",1998,"En Congresos, Seminarios, Simposios y Jornadas Nacionales",National Conferences,,
"Evaluación del Área Anegada del Noreste de La Pampa Mediante Teledetección. Sipowicz, A.; Roberto, Z.; Casagrande, G.; Lorda, H. O.; Gomez Hermida, V.; Bellini Saibene, Y. y Sarasola, J. A. Actas de las VII Jornadas Pampeanas de Ciencias Naturales, Consejo Profesional de Ciencias Naturales de La Pampa y Facultad de Ciencias Exactas y Naturales, UNLPam. 1 al 3 de Diciembre de 1999. Santa Rosa.",1999,"En Congresos, Seminarios, Simposios y Jornadas Nacionales",National Conferences,,
"Evaluación del Área Anegada del Noreste de La Pampa. Sipowicz, A.; Roberto, Z.; Casagrande, G.; Lorda, H. O.; Gomez Hermida, V.; Bellini Saibene, Y. y Sarasola, J. A. La Reforma. Mayo 1999.",1999,Popular science articles,Popular science articles,,
"Inundaciones el Noreste de la Provincia de La Pampa. Lorda, H.O., Roberto, Z.; Casagrande, G.; Gomez Hermida, V.; Bellini Saibene, Y. La Arena del Campo. Diario La Arena, Santa Rosa, La Pampa. Mayo. 1999.",1999,Popular science articles,Popular science articles,,
Aplicación de un Sistema de Información Geográfico aplicado al Agro. Sipowicz A.; Lorda H.O.; Bellini Saibene Y.; Lucchetti P. AgroInformática 2000. 8 al 10 de Diciembre. La Dulce. Buenos Aires.,2000,"En Congresos, Seminarios, Simposios y Jornadas Nacionales",National Conferences,,
Clasificación Supervisada de Imágenes Satelitales. Sipowicz A.; Lorda H.O.; Bellini Saibene Y.; Lucchetti P. AgroInformática 2000. 8 al 10 de Diciembre. La Dulce. Buenos Aires.,2000,"En Congresos, Seminarios, Simposios y Jornadas Nacionales",National Conferences,,
"Estimación de Intención de Siembra de Trigo Campaña 00/01. Lorda, H.; Bellini Saibene, Y. La Arena del Campo. Diario La Arena, Santa Rosa, La Pampa. 16 de Septiembre de 2000.",2000,Popular science articles,Popular science articles,,
"Informe “Evaluación de Pérdidas Económicas por Efecto de las Inundaciones en el Norte de la Provincia de La Pampa”, Bellini Saibene Y.; Casagrande, G.; Caviglia, J.; Colazo, R.; Lorda, H.;Roberto, Z.; Sipowicz, A. Abril 2000.",2000,Journals,Journals,,
"Inundaciones y Teledetección. Roberto, Z.; Casagrande, G.; Bellini Saibene, Y.; Lorda, H.O.; Sipowicz, A.. Boletín AgroRADAR N1 5. Octubre 2000",2000,Articulo de Divulgación,Popular science articles,,
Manejo de Información Agroeconómica utilizando Base de Datos. Sipowicz A.; Lorda H.O.; Bellini Saibene Y.; Lucchetti P. AgroInformática 2000. 8 al 10 de Diciembre. La Dulce. Buenos Aires.,2000,"En Congresos, Seminarios, Simposios y Jornadas Nacionales",National Conferences,,
